         1695 function calls (1693 primitive calls) in 0.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 {built-in method builtins.exec}
        1    0.000    0.000    0.003    0.003 <string>:1(<module>)
        1    0.000    0.000    0.003    0.003 runners.py:8(run)
        3    0.000    0.000    0.003    0.001 base_events.py:613(run_until_complete)
        3    0.000    0.000    0.003    0.001 base_events.py:589(run_forever)
        6    0.000    0.000    0.003    0.000 base_events.py:1832(_run_once)
        6    0.000    0.000    0.003    0.000 events.py:78(_run)
        6    0.000    0.000    0.003    0.000 {method 'run' of '_contextvars.Context' objects}
        1    0.000    0.000    0.002    0.002 optimize.py:140(main_async)
       17    0.000    0.000    0.002    0.000 __init__.py:1467(info)
       17    0.000    0.000    0.002    0.000 __init__.py:1600(_log)
       17    0.000    0.000    0.001    0.000 __init__.py:1626(handle)
       17    0.000    0.000    0.001    0.000 __init__.py:1680(callHandlers)
       17    0.000    0.000    0.001    0.000 __init__.py:955(handle)
       17    0.000    0.000    0.001    0.000 __init__.py:1204(emit)
       17    0.000    0.000    0.001    0.000 __init__.py:1088(emit)
        8    0.000    0.000    0.001    0.000 optimize.py:27(add_item)
        4    0.000    0.000    0.001    0.000 optimize.py:117(search_item_by_name)
       17    0.000    0.000    0.001    0.000 __init__.py:1077(flush)
       17    0.000    0.000    0.000    0.000 __init__.py:1585(makeRecord)
       17    0.000    0.000    0.000    0.000 __init__.py:932(format)
       17    0.000    0.000    0.000    0.000 __init__.py:665(format)
       17    0.000    0.000    0.000    0.000 __init__.py:283(__init__)
       17    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 optimize.py:9(__init__)
        1    0.000    0.000    0.000    0.000 optimize.py:13(setup_logger)
       17    0.000    0.000    0.000    0.000 __init__.py:597(formatTime)
        1    0.000    0.000    0.000    0.000 events.py:781(new_event_loop)
        1    0.000    0.000    0.000    0.000 events.py:667(new_event_loop)
        1    0.000    0.000    0.000    0.000 __init__.py:1144(__init__)
        1    0.000    0.000    0.000    0.000 unix_events.py:63(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:49(__init__)
        2    0.000    0.000    0.000    0.000 optimize.py:43(display_inventory)
        2    0.000    0.000    0.000    0.000 optimize.py:52(count_items)
        6    0.000    0.000    0.000    0.000 selectors.py:554(select)
        1    0.000    0.000    0.000    0.000 selector_events.py:101(_make_self_pipe)
        8    0.000    0.000    0.000    0.000 {method 'control' of 'select.kqueue' objects}
       17    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.000    0.000 optimize.py:130(clear_inventory)
        1    0.000    0.000    0.000    0.000 __init__.py:1195(_open)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       17    0.000    0.000    0.000    0.000 __init__.py:1549(findCaller)
       17    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 unix_events.py:67(close)
        1    0.000    0.000    0.000    0.000 posixpath.py:377(abspath)
        1    0.000    0.000    0.000    0.000 selector_events.py:82(close)
       17    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       17    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
        1    0.000    0.000    0.000    0.000 selector_events.py:252(_add_reader)
        3    0.000    0.000    0.000    0.000 tasks.py:610(ensure_future)
        3    0.000    0.000    0.000    0.000 tasks.py:618(_ensure_future)
        1    0.000    0.000    0.000    0.000 selector_events.py:93(_close_self_pipe)
       17    0.000    0.000    0.000    0.000 __init__.py:649(formatMessage)
       26    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
       17    0.000    0.000    0.000    0.000 __init__.py:438(format)
        4    0.000    0.000    0.000    0.000 optimize.py:123(<listcomp>)
        3    0.000    0.000    0.000    0.000 base_events.py:431(create_task)
       17    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       34    0.000    0.000    0.000    0.000 __init__.py:912(acquire)
        1    0.000    0.000    0.000    0.000 socket.py:594(socketpair)
       17    0.000    0.000    0.000    0.000 __init__.py:643(usesTime)
        1    0.000    0.000    0.000    0.000 base_events.py:391(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
