         1294 function calls in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 {built-in method builtins.exec}
        1    0.000    0.000    0.002    0.002 <string>:1(<module>)
        1    0.000    0.000    0.002    0.002 main.py:142(main)
       17    0.000    0.000    0.002    0.000 __init__.py:1467(info)
       17    0.000    0.000    0.002    0.000 __init__.py:1600(_log)
       17    0.000    0.000    0.001    0.000 __init__.py:1626(handle)
       17    0.000    0.000    0.001    0.000 __init__.py:1680(callHandlers)
       17    0.000    0.000    0.001    0.000 __init__.py:955(handle)
       17    0.000    0.000    0.001    0.000 __init__.py:1204(emit)
       17    0.000    0.000    0.001    0.000 __init__.py:1088(emit)
        8    0.000    0.000    0.001    0.000 main.py:25(add_item)
       17    0.000    0.000    0.001    0.000 __init__.py:1077(flush)
        4    0.000    0.000    0.000    0.000 main.py:120(search_item_by_name)
       17    0.000    0.000    0.000    0.000 __init__.py:1585(makeRecord)
       17    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       17    0.000    0.000    0.000    0.000 __init__.py:283(__init__)
       17    0.000    0.000    0.000    0.000 __init__.py:932(format)
       17    0.000    0.000    0.000    0.000 __init__.py:665(format)
        1    0.000    0.000    0.000    0.000 main.py:7(__init__)
        1    0.000    0.000    0.000    0.000 main.py:11(setup_logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1144(__init__)
        2    0.000    0.000    0.000    0.000 main.py:46(display_inventory)
       17    0.000    0.000    0.000    0.000 __init__.py:597(formatTime)
        2    0.000    0.000    0.000    0.000 main.py:55(count_items)
        1    0.000    0.000    0.000    0.000 main.py:133(clear_inventory)
       17    0.000    0.000    0.000    0.000 __init__.py:1549(findCaller)
        1    0.000    0.000    0.000    0.000 posixpath.py:377(abspath)
        1    0.000    0.000    0.000    0.000 __init__.py:1195(_open)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       17    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       17    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
       17    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       17    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
       17    0.000    0.000    0.000    0.000 __init__.py:649(formatMessage)
       17    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
       17    0.000    0.000    0.000    0.000 __init__.py:438(format)
        4    0.000    0.000    0.000    0.000 main.py:126(<listcomp>)
       34    0.000    0.000    0.000    0.000 __init__.py:912(acquire)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       17    0.000    0.000    0.000    0.000 __init__.py:431(_format)
       17    0.000    0.000    0.000    0.000 __init__.py:643(usesTime)
       34    0.000    0.000    0.000    0.000 __init__.py:919(release)
        1    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
       52    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
